#-------------------------------------------------------------------------------------------------------------------------------------------------------------------
#
# Results of thermal analysis
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#Location, 	 Radius, mm	 Conv. heat	 Conv. heat	 Rad. heat 	 Total heat	     Twg, K	     Twi, K	     Twc, K	      Tc, K	    pc, MPa	    wc, m/s	 rho, kg/m^	                       Comments	 
        mm	           	  coeff., k	  flux, kW/	 flux, kW/m	  flux, kW/	           	           	           	           	           	           	          3	                               	 
          	           	    W/m^2-K	        m^2	         ^2	        m^2	           	           	           	           	           	           	           	                               	 
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    0.0000	    46.5200	     0.0000	     0.0000	   220.3643	   220.3643	   404.9300	   404.9300	   401.3900	   389.9400	     3.9990	     1.7500	   790.3900	 regenerative cooling, opposite flow; film coolant injection	 
    5.4600	    46.5200	     0.0000	     0.0000	   299.2364	   299.2364	   409.7800	   409.7800	   405.4900	   389.9400	     3.9990	     1.7500	   790.3900	 regenerative cooling, opposite flow	 
   10.9200	    46.5200	     0.0000	     0.0000	   360.1169	   360.1169	   413.2300	   413.2300	   408.2600	   389.5400	     3.9990	     1.7500	   790.3900	 regenerative cooling, opposite flow	 
   16.3700	    46.5200	     0.0000	     0.0000	   403.6025	   403.6025	   415.5500	   415.5500	   410.0700	   389.0800	     3.9990	     1.7500	   790.3900	 regenerative cooling, opposite flow	 
   21.8300	    46.5200	     0.5252	  1124.6274	   320.6422	  1445.2696	   478.8100	   478.8100	   464.2400	   389.0800	     3.9990	     1.7500	   790.3900	 regenerative cooling, opposite flow	 
   27.2900	    46.5200	     0.5730	  1223.5667	   316.8457	  1540.4124	   484.6700	   484.6700	   469.1800	   389.0700	     3.9990	     1.7500	   790.3900	 regenerative cooling, opposite flow	 
   32.7500	    46.5200	     0.6130	  1307.7880	   291.7893	  1599.5773	   486.6900	   486.6900	   470.5600	   387.1600	     3.9990	     1.7500	   790.3900	 regenerative cooling, opposite flow	 
   38.2100	    46.5200	     0.6193	  1322.4260	   271.0699	  1593.4959	   484.6200	   484.6200	   468.5100	   385.2000	     3.9990	     1.7500	   790.3900	 regenerative cooling, opposite flow	 
   43.6700	    46.5200	     0.6210	  1327.2715	   260.1757	  1587.4471	   482.5200	   482.5200	   466.4500	   383.2300	     3.9990	     1.7500	   790.3900	 regenerative cooling, opposite flow	 
   49.1200	    46.5200	     0.6287	  1344.3198	   256.5445	  1600.8643	   481.6000	   481.6000	   465.3900	   381.2400	     3.9990	     1.7500	   790.3900	 regenerative cooling, opposite flow	 
   54.5800	    46.5200	     0.6319	  1352.0468	   255.6145	  1607.6613	   480.2600	   480.2600	   463.9600	   379.2300	     3.9990	     1.7500	   790.3900	 regenerative cooling, opposite flow	 
   60.0400	    46.5200	     0.6335	  1356.4516	   255.5897	  1612.0413	   478.7400	   478.7400	   462.3900	   377.2000	     3.9990	     1.7500	   790.3900	 regenerative cooling, opposite flow	 
   65.5000	    46.5200	     0.6349	  1360.3387	   255.7221	  1616.0608	   477.1800	   477.1800	   460.7900	   375.1500	     3.9990	     1.7500	   790.3900	 regenerative cooling, opposite flow	 
   70.9600	    46.5200	     0.6362	  1364.2337	   255.8055	  1620.0392	   475.6000	   475.6000	   459.1600	   373.0700	     3.9990	     1.7500	   790.3900	 regenerative cooling, opposite flow	 
   76.4200	    46.5200	     0.6375	  1368.1365	   256.1735	  1624.3100	   474.0200	   474.0200	   457.5300	   370.9800	     3.9990	     1.7500	   790.3900	 regenerative cooling, opposite flow	 
   81.8700	    46.5200	     0.6389	  1372.0950	   256.2870	  1628.3819	   472.4100	   472.4100	   455.8800	   368.8700	     3.9990	     1.7500	   790.3900	 regenerative cooling, opposite flow	 
   87.3300	    46.5200	     0.6403	  1376.0911	   256.2649	  1632.3559	   470.7900	   470.7900	   454.2000	   366.7300	     3.9990	     1.7500	   790.3900	 regenerative cooling, opposite flow	 
   91.9200	    46.3300	     0.6463	  1389.8518	   254.8594	  1644.7112	   469.5300	   469.5300	   452.8200	   364.9200	     3.9990	     1.7600	   790.3900	 regenerative cooling, opposite flow	 
   96.5100	    45.7200	     0.6624	  1424.8491	   254.4598	  1679.3089	   468.7500	   468.7500	   451.6900	   363.0700	     3.9990	     1.7800	   790.3900	 regenerative cooling, opposite flow	 
  101.1000	    44.7100	     0.6899	  1484.2285	   255.8799	  1740.1083	   468.5200	   468.5200	   450.8500	   361.1600	     3.9990	     1.8300	   790.3900	 regenerative cooling, opposite flow	 
  105.7000	    43.2500	     0.7321	  1574.7719	   255.5927	  1830.3645	   468.7300	   468.7300	   450.1700	   359.1600	     3.9990	     1.8900	   790.3900	 regenerative cooling, opposite flow	 
  110.2900	    41.3100	     0.7942	  1707.4285	   254.5876	  1962.0161	   469.6200	   469.6200	   449.7500	   357.0300	     3.9990	     1.9900	   790.3900	 regenerative cooling, opposite flow	 
  114.8800	    38.8200	     0.8856	  1902.0295	   254.0663	  2156.0959	   471.5100	   471.5100	   449.7300	   354.7300	     3.9990	     2.1300	   790.3900	 regenerative cooling, opposite flow	 
  119.4700	    35.7500	     1.0226	  2192.2183	   252.1954	  2444.4137	   474.8200	   474.8200	   450.1800	   352.1900	     3.9990	     2.3300	   790.3900	 regenerative cooling, opposite flow	 
  124.0600	    32.5300	     1.2037	  2574.0420	   247.9405	  2821.9825	   479.2400	   479.2400	   450.8600	   349.4400	     3.9990	     2.5800	   790.3900	 regenerative cooling, opposite flow	 
  128.6500	    29.3200	     1.4389	  3066.4387	   240.7265	  3307.1652	   484.9400	   484.9400	   451.7400	   346.5200	     3.9990	     2.9000	   790.3900	 regenerative cooling, opposite flow	 
  133.2400	    26.1900	     1.7431	  3696.7624	   226.4052	  3923.1676	   491.9900	   491.9900	   452.6700	   343.4700	     3.9990	     3.3000	   790.3900	 regenerative cooling, opposite flow	 
  137.8300	    23.8700	     2.0358	  4295.5632	   205.4503	  4501.0135	   497.8000	   497.8000	   452.7200	   340.4300	     3.9990	     3.6700	   790.3900	 regenerative cooling, opposite flow	 
  142.4200	    22.3900	     2.2638	  4753.7764	   177.4130	  4931.1894	   500.9200	   500.9200	   451.5600	   337.4600	     3.9990	     3.9600	   790.3900	 regenerative cooling, opposite flow	 
  147.0100	    21.6200	     2.3944	  5006.2635	   149.3578	  5155.6213	   500.7900	   500.7900	   449.1900	   334.5100	     3.9990	     4.1200	   790.3900	 regenerative cooling, opposite flow	 
  150.0000	    21.4800	     2.4159	  5038.6544	   135.3621	  5174.0165	   498.7900	   498.7900	   447.0000	   332.6000	     3.9990	     4.1500	   790.3900	 regenerative cooling, opposite flow	 
  159.1800	    24.5100	     1.9112	  3955.3191	    50.1142	  4005.4333	   470.3800	   470.3800	   430.1900	   326.8700	     4.0000	     3.6700	   790.3900	 regenerative cooling, opposite flow	 
  168.3600	    27.9800	     1.5157	  3133.9184	    31.2623	  3165.1808	   448.9200	   448.9200	   417.0500	   321.4300	     4.0000	     3.2400	   790.3900	 regenerative cooling, opposite flow	 
  177.5500	    31.2500	     1.2483	  2581.1371	    23.0573	  2604.1944	   432.7200	   432.7200	   406.3700	   316.4400	     4.0000	     2.9100	   790.3900	 regenerative cooling, opposite flow	 
  186.7300	    34.3100	     1.0591	  2190.6131	    18.0206	  2208.6336	   419.7600	   419.7600	   397.2800	   311.8200	     4.0000	     2.6600	   790.3900	 regenerative cooling, opposite flow	 
  195.9100	    37.1400	     0.9206	  1905.0865	    14.7865	  1919.8730	   409.0400	   409.0400	   389.3600	   307.4700	     4.0000	     2.4700	   790.3900	 regenerative cooling, opposite flow	 
  212.7900	    41.7500	     0.7490	  1551.7100	    11.0605	  1562.7705	   393.2400	   393.2400	   377.0100	   300.0000	     4.0000	     2.2100	   790.3900	 regenerative cooling, opposite flow	 
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
