#-------------------------------------------------------------------------------------------------------------------------------------------------------------------
#
# Results of thermal analysis
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#Location, 	 Radius, mm	 Conv. heat	 Conv. heat	 Rad. heat 	 Total heat	     Twg, K	     Twi, K	     Twc, K	      Tc, K	    pc, MPa	    wc, m/s	 rho, kg/m^	                       Comments	 
        mm	           	  coeff., k	  flux, kW/	 flux, kW/m	  flux, kW/	           	           	           	           	           	           	          3	                               	 
          	           	    W/m^2-K	        m^2	         ^2	        m^2	           	           	           	           	           	           	           	                               	 
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    0.0000	    46.5200	     0.0000	     0.0000	   279.8561	   279.8561	   404.7200	   404.7200	   400.7900	   387.1200	     3.9990	     1.9000	   790.3900	 regenerative cooling, opposite flow; film coolant injection	 
    5.4600	    46.5200	     0.0000	     0.0000	   379.8672	   379.8672	   410.2100	   410.2100	   405.3100	   386.7400	     3.9990	     1.9000	   790.3900	 regenerative cooling, opposite flow	 
   10.9200	    46.5200	     0.0000	     0.0000	   457.2591	   457.2591	   414.2900	   414.2900	   408.6400	   386.2700	     3.9990	     1.9000	   790.3900	 regenerative cooling, opposite flow	 
   16.3700	    46.5200	     0.0000	     0.0000	   512.1417	   512.1417	   416.9900	   416.9900	   410.7900	   385.7300	     3.9990	     1.9000	   790.3900	 regenerative cooling, opposite flow	 
   21.8300	    46.5200	     0.3971	   992.3144	   408.3644	  1400.6788	   467.5300	   467.5300	   453.3000	   384.6400	     3.9990	     1.9000	   790.3900	 regenerative cooling, opposite flow	 
   27.2900	    46.5200	     0.4380	  1092.5732	   403.8116	  1496.3848	   471.6800	   471.6800	   456.5000	   382.9900	     3.9990	     1.9000	   790.3900	 regenerative cooling, opposite flow	 
   32.7500	    46.5200	     0.4681	  1167.2691	   372.3878	  1539.6569	   472.7100	   472.7100	   457.0700	   381.2600	     3.9990	     1.9000	   790.3900	 regenerative cooling, opposite flow	 
   38.2100	    46.5200	     0.4732	  1180.9834	   345.7582	  1526.7416	   470.4100	   470.4100	   454.8400	   379.4900	     3.9990	     1.9000	   790.3900	 regenerative cooling, opposite flow	 
   43.6700	    46.5200	     0.4977	  1241.5847	   331.6129	  1573.1976	   471.5600	   471.5600	   455.5300	   377.6900	     3.9990	     1.9000	   790.3900	 regenerative cooling, opposite flow	 
   49.1200	    46.5200	     0.5188	  1293.6404	   326.5430	  1620.1834	   472.7000	   472.7000	   456.1900	   375.8300	     3.9990	     1.9000	   790.3900	 regenerative cooling, opposite flow	 
   54.5800	    46.5200	     0.5263	  1312.7783	   325.4156	  1638.1940	   472.0700	   472.0700	   455.3700	   373.9200	     3.9990	     1.9000	   790.3900	 regenerative cooling, opposite flow	 
   60.0400	    46.5200	     0.5284	  1318.6595	   325.4473	  1644.1068	   470.7000	   470.7000	   453.9400	   371.9800	     3.9990	     1.9000	   790.3900	 regenerative cooling, opposite flow	 
   65.5000	    46.5200	     0.5295	  1322.1974	   325.3521	  1647.5495	   469.1800	   469.1800	   452.3600	   370.0200	     3.9990	     1.9000	   790.3900	 regenerative cooling, opposite flow	 
   70.9600	    46.5200	     0.5305	  1325.5547	   325.5213	  1651.0760	   467.6300	   467.6300	   450.7800	   368.0400	     3.9990	     1.9000	   790.3900	 regenerative cooling, opposite flow	 
   76.4200	    46.5200	     0.5315	  1328.9298	   325.8596	  1654.7894	   466.0800	   466.0800	   449.1800	   366.0500	     3.9990	     1.9000	   790.3900	 regenerative cooling, opposite flow	 
   81.8700	    46.5200	     0.5325	  1332.3414	   326.0705	  1658.4119	   464.5100	   464.5100	   447.5700	   364.0400	     3.9990	     1.9000	   790.3900	 regenerative cooling, opposite flow	 
   87.3300	    46.5200	     0.5336	  1335.7986	   326.0273	  1661.8259	   462.9200	   462.9200	   445.9300	   362.0100	     3.9990	     1.9000	   790.3900	 regenerative cooling, opposite flow	 
   91.9200	    46.3300	     0.5385	  1348.6596	   326.1190	  1674.7786	   461.7500	   461.7500	   444.6400	   360.2900	     3.9990	     1.9100	   790.3900	 regenerative cooling, opposite flow	 
   96.5100	    45.7300	     0.5518	  1382.5796	   325.3368	  1707.9164	   460.9000	   460.9000	   443.4600	   358.5300	     3.9990	     1.9400	   790.3900	 regenerative cooling, opposite flow	 
  101.1000	    44.7100	     0.5749	  1440.5523	   324.8978	  1765.4501	   460.4800	   460.4800	   442.4600	   356.7300	     3.9990	     1.9900	   790.3900	 regenerative cooling, opposite flow	 
  105.6900	    43.2500	     0.6101	  1528.6732	   325.3898	  1854.0630	   460.6000	   460.6000	   441.7000	   354.8400	     3.9990	     2.0600	   790.3900	 regenerative cooling, opposite flow	 
  110.2800	    41.3100	     0.6620	  1658.0786	   324.6236	  1982.7021	   461.3000	   461.3000	   441.1200	   352.8300	     3.9990	     2.1600	   790.3900	 regenerative cooling, opposite flow	 
  114.8600	    38.8300	     0.7386	  1848.5055	   322.6105	  2171.1160	   462.8700	   462.8700	   440.8300	   350.6700	     3.9990	     2.3100	   790.3900	 regenerative cooling, opposite flow	 
  119.4500	    35.7600	     0.8532	  2132.4958	   321.9147	  2454.4105	   465.9000	   465.9000	   441.0600	   348.2900	     3.9990	     2.5300	   790.3900	 regenerative cooling, opposite flow	 
  124.0400	    32.5500	     1.0052	  2507.3383	   316.9535	  2824.2918	   469.9900	   469.9900	   441.4800	   345.7300	     3.9990	     2.8100	   790.3900	 regenerative cooling, opposite flow	 
  128.6300	    29.3300	     1.2028	  2992.0020	   308.8816	  3300.8836	   475.3800	   475.3800	   442.1500	   343.0200	     3.9990	     3.1600	   790.3900	 regenerative cooling, opposite flow	 
  133.2200	    26.2000	     1.4589	  3614.8424	   294.1458	  3908.9883	   482.2400	   482.2400	   442.9800	   340.1900	     3.9990	     3.5900	   790.3900	 regenerative cooling, opposite flow	 
  137.8100	    23.8800	     1.7061	  4209.9983	   272.0178	  4482.0161	   488.0300	   488.0300	   443.0700	   337.3800	     3.9990	     3.9900	   790.3900	 regenerative cooling, opposite flow	 
  142.4000	    22.3900	     1.8993	  4668.9287	   240.8236	  4909.7524	   491.2600	   491.2600	   442.0500	   334.6400	     3.9990	     4.3000	   790.3900	 regenerative cooling, opposite flow	 
  146.9900	    21.6300	     2.0107	  4926.3684	   207.0493	  5133.4177	   491.3100	   491.3100	   439.8600	   331.9200	     3.9990	     4.4800	   790.3900	 regenerative cooling, opposite flow	 
  150.0000	    21.4800	     2.0295	  4962.7831	   194.3105	  5157.0935	   489.6000	   489.6000	   437.9100	   330.1400	     3.9990	     4.5200	   790.3900	 regenerative cooling, opposite flow	 
  159.1800	    24.5100	     1.6071	  3911.7646	    92.5415	  4004.3061	   462.5400	   462.5400	   422.2900	   324.8600	     4.0000	     3.9900	   790.3900	 regenerative cooling, opposite flow	 
  168.3600	    27.9800	     1.2755	  3105.4735	    66.1049	  3171.5784	   442.0900	   442.0900	   410.0500	   319.8300	     4.0000	     3.5200	   790.3900	 regenerative cooling, opposite flow	 
  177.5300	    31.2600	     1.0514	  2561.8653	    53.5792	  2615.4445	   426.7300	   426.7300	   400.1600	   315.2200	     4.0000	     3.1700	   790.3900	 regenerative cooling, opposite flow	 
  186.7100	    34.3200	     0.8928	  2177.4027	    45.5973	  2223.0000	   414.5000	   414.5000	   391.7600	   310.9300	     4.0000	     2.9000	   790.3900	 regenerative cooling, opposite flow	 
  195.8900	    37.1600	     0.7769	  1896.2494	    39.4846	  1935.7340	   404.3800	   404.3800	   384.4300	   306.9000	     4.0000	     2.6900	   790.3900	 regenerative cooling, opposite flow	 
  212.6600	    41.7500	     0.6339	  1549.9822	    31.7332	  1581.7154	   389.5800	   389.5800	   373.0400	   300.0000	     4.0000	     2.4000	   790.3900	 regenerative cooling, opposite flow	 
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
