#-------------------------------------------------------------------------------------------------------------------------------------------------------------------
#
# Results of thermal analysis
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#Location, 	 Radius, mm	 Conv. heat	 Conv. heat	 Rad. heat 	 Total heat	     Twg, K	     Twi, K	     Twc, K	      Tc, K	    pc, MPa	    wc, m/s	 rho, kg/m^	                       Comments	 
        mm	           	  coeff., k	  flux, kW/	 flux, kW/m	  flux, kW/	           	           	           	           	           	           	          3	                               	 
          	           	    W/m^2-K	        m^2	         ^2	        m^2	           	           	           	           	           	           	           	                               	 
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    0.0000	    46.5200	     0.0000	     0.0000	   233.8790	   233.8790	   404.7800	   404.7800	   401.2100	   390.0000	     3.9990	     1.9400	   790.3900	 regenerative cooling, opposite flow; film coolant injection	 
    5.4600	    46.5200	     0.0000	     0.0000	   317.4443	   317.4443	   409.3400	   409.3400	   404.9200	   389.7000	     3.9990	     1.9400	   790.3900	 regenerative cooling, opposite flow	 
   10.9200	    46.5200	     0.0000	     0.0000	   382.0259	   382.0259	   413.0200	   413.0200	   408.0100	   389.7000	     3.9990	     1.9400	   790.3900	 regenerative cooling, opposite flow	 
   16.3700	    46.5200	     0.0000	     0.0000	   428.1761	   428.1761	   415.5800	   415.5800	   410.2200	   389.7000	     3.9990	     1.9400	   790.3900	 regenerative cooling, opposite flow	 
   21.8300	    46.5200	     0.0000	     0.0000	   456.1735	   456.1735	   416.7200	   416.7200	   411.1000	   389.2100	     3.9990	     1.9400	   790.3900	 regenerative cooling, opposite flow	 
   27.2900	    46.5200	     0.5921	  1266.8273	   346.6709	  1613.4982	   481.8600	   481.8600	   465.6000	   388.0800	     3.9990	     1.9400	   790.3900	 regenerative cooling, opposite flow	 
   32.7500	    46.5200	     0.6389	  1364.9171	   336.6502	  1701.5673	   485.3500	   485.3500	   468.2100	   386.2500	     3.9990	     1.9400	   790.3900	 regenerative cooling, opposite flow	 
   38.2100	    46.5200	     0.6786	  1448.4661	   311.2567	  1759.7228	   487.0700	   487.0700	   469.3100	   384.3300	     3.9990	     1.9400	   790.3900	 regenerative cooling, opposite flow	 
   43.6700	    46.5200	     0.6846	  1462.8079	   289.3056	  1752.1135	   484.9100	   484.9100	   467.2100	   382.3700	     3.9990	     1.9400	   790.3900	 regenerative cooling, opposite flow	 
   49.1200	    46.5200	     0.6860	  1467.1649	   277.2287	  1744.3936	   482.7400	   482.7400	   465.0900	   380.4000	     3.9990	     1.9400	   790.3900	 regenerative cooling, opposite flow	 
   54.5800	    46.5200	     0.6947	  1486.5270	   272.3207	  1758.8477	   481.8400	   481.8400	   464.0300	   378.4100	     3.9990	     1.9400	   790.3900	 regenerative cooling, opposite flow	 
   60.0400	    46.5200	     0.6989	  1496.2589	   271.4170	  1767.6760	   480.5700	   480.5700	   462.6800	   376.4000	     3.9990	     1.9400	   790.3900	 regenerative cooling, opposite flow	 
   65.5000	    46.5200	     0.7008	  1501.4489	   271.1162	  1772.5652	   479.0700	   479.0700	   461.1200	   374.3700	     3.9990	     1.9400	   790.3900	 regenerative cooling, opposite flow	 
   70.9600	    46.5200	     0.7023	  1505.7402	   271.3906	  1777.1308	   477.5300	   477.5300	   459.5200	   372.3100	     3.9990	     1.9400	   790.3900	 regenerative cooling, opposite flow	 
   76.4200	    46.5200	     0.7038	  1509.9869	   271.5229	  1781.5098	   475.9600	   475.9600	   457.9000	   370.2400	     3.9990	     1.9400	   790.3900	 regenerative cooling, opposite flow	 
   81.8700	    46.5200	     0.7052	  1514.2315	   271.6431	  1785.8746	   474.3700	   474.3700	   456.2700	   368.1500	     3.9990	     1.9400	   790.3900	 regenerative cooling, opposite flow	 
   87.3300	    46.5200	     0.7067	  1518.5394	   271.8212	  1790.3606	   472.7700	   472.7700	   454.6200	   366.0300	     3.9990	     1.9400	   790.3900	 regenerative cooling, opposite flow	 
   91.9200	    46.3300	     0.7132	  1533.4199	   271.2728	  1804.6926	   471.6100	   471.6100	   453.3000	   364.2400	     3.9990	     1.9500	   790.3900	 regenerative cooling, opposite flow	 
   96.5100	    45.7200	     0.7308	  1571.6994	   271.6907	  1843.3901	   470.9300	   470.9300	   452.2400	   362.4000	     3.9990	     1.9800	   790.3900	 regenerative cooling, opposite flow	 
  101.1100	    44.7100	     0.7612	  1637.1183	   272.0158	  1909.1341	   470.7400	   470.7400	   451.3900	   360.5100	     3.9990	     2.0300	   790.3900	 regenerative cooling, opposite flow	 
  105.7000	    43.2500	     0.8076	  1736.5881	   271.2707	  2007.8588	   471.0800	   471.0800	   450.7500	   358.5300	     3.9990	     2.1000	   790.3900	 regenerative cooling, opposite flow	 
  110.2900	    41.3100	     0.8759	  1882.3142	   269.7784	  2152.0926	   472.1500	   472.1500	   450.3900	   356.4200	     3.9990	     2.2100	   790.3900	 regenerative cooling, opposite flow	 
  114.8800	    38.8200	     0.9764	  2095.9422	   268.6349	  2364.5771	   474.3100	   474.3100	   450.4500	   354.1400	     3.9990	     2.3600	   790.3900	 regenerative cooling, opposite flow	 
  119.4700	    35.7500	     1.1268	  2413.8796	   267.7627	  2681.6422	   478.0600	   478.0600	   451.0500	   351.6200	     3.9990	     2.5800	   790.3900	 regenerative cooling, opposite flow	 
  124.0600	    32.5300	     1.3256	  2831.9270	   263.8320	  3095.7589	   483.0100	   483.0100	   451.9000	   348.9100	     3.9990	     2.8700	   790.3900	 regenerative cooling, opposite flow	 
  128.6500	    29.3200	     1.5836	  3370.4200	   255.2234	  3625.6434	   489.2900	   489.2900	   452.9100	   346.0200	     3.9990	     3.2200	   790.3900	 regenerative cooling, opposite flow	 
  133.2400	    26.1800	     1.9165	  4057.6734	   242.8002	  4300.4736	   497.1600	   497.1600	   454.0700	   342.9900	     3.9990	     3.6600	   790.3900	 regenerative cooling, opposite flow	 
  137.8300	    23.8700	     2.2366	  4709.9227	   219.1104	  4929.0332	   503.5700	   503.5700	   454.2300	   339.9900	     3.9990	     4.0800	   790.3900	 regenerative cooling, opposite flow	 
  142.4200	    22.3900	     2.4855	  5207.8972	   188.6269	  5396.5241	   507.1700	   507.1700	   453.1600	   337.0600	     3.9990	     4.3900	   790.3900	 regenerative cooling, opposite flow	 
  147.0100	    21.6200	     2.6279	  5481.5880	   158.7398	  5640.3278	   507.2900	   507.2900	   450.8500	   334.1500	     3.9990	     4.5700	   790.3900	 regenerative cooling, opposite flow	 
  150.0000	    21.4800	     2.6512	  5516.2217	   144.6399	  5660.8616	   505.3500	   505.3500	   448.7000	   332.2600	     3.9990	     4.6100	   790.3900	 regenerative cooling, opposite flow	 
  159.1800	    24.5100	     2.0993	  4336.6303	    53.9661	  4390.5964	   475.7800	   475.7800	   431.7600	   326.6100	     4.0000	     4.0700	   790.3900	 regenerative cooling, opposite flow	 
  168.3600	    27.9800	     1.6661	  3440.1406	    33.8321	  3473.9727	   453.4300	   453.4300	   418.4900	   321.2200	     4.0000	     3.5900	   790.3900	 regenerative cooling, opposite flow	 
  177.5500	    31.2500	     1.3730	  2835.5931	    25.0011	  2860.5942	   436.6200	   436.6200	   407.7200	   316.2900	     4.0000	     3.2300	   790.3900	 regenerative cooling, opposite flow	 
  186.7300	    34.3100	     1.1652	  2407.8561	    19.7024	  2427.5585	   423.2200	   423.2200	   398.5700	   311.7100	     4.0000	     2.9600	   790.3900	 regenerative cooling, opposite flow	 
  195.9100	    37.1400	     1.0131	  2094.8230	    16.0587	  2110.8817	   412.1600	   412.1600	   390.6000	   307.4100	     4.0000	     2.7400	   790.3900	 regenerative cooling, opposite flow	 
  212.7900	    41.7500	     0.8244	  1706.9395	    12.1159	  1719.0554	   395.9700	   395.9700	   378.1900	   300.0000	     4.0000	     2.4500	   790.3900	 regenerative cooling, opposite flow	 
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
