#-------------------------------------------------------------------------------------------------------------------------------------------------------------------
#
# Results of thermal analysis
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#Location, 	 Radius, mm	 Conv. heat	 Conv. heat	 Rad. heat 	 Total heat	     Twg, K	     Twi, K	     Twc, K	      Tc, K	    pc, MPa	    wc, m/s	 rho, kg/m^	                       Comments	 
        mm	           	  coeff., k	  flux, kW/	 flux, kW/m	  flux, kW/	           	           	           	           	           	           	          3	                               	 
          	           	    W/m^2-K	        m^2	         ^2	        m^2	           	           	           	           	           	           	           	                               	 
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    0.0000	    46.5200	     0.0000	     0.0000	   187.9369	   187.9369	   404.9700	   404.9700	   401.6600	   389.8200	     3.9990	     1.3600	   790.3900	 regenerative cooling, opposite flow; film coolant injection	 
    5.4600	    46.5200	     0.0000	     0.0000	   254.9131	   254.9131	   409.8300	   409.8300	   405.8800	   389.8200	     3.9990	     1.3600	   790.3900	 regenerative cooling, opposite flow	 
   10.9200	    46.5200	     0.0000	     0.0000	   307.0649	   307.0649	   413.5900	   413.5900	   409.1600	   389.8200	     3.9990	     1.3600	   790.3900	 regenerative cooling, opposite flow	 
   16.3700	    46.5200	     0.0000	     0.0000	   343.9543	   343.9543	   416.1900	   416.1900	   411.4900	   389.8200	     3.9990	     1.3600	   790.3900	 regenerative cooling, opposite flow	 
   21.8300	    46.5200	     0.4182	   895.1845	   273.5111	  1168.6956	   475.3300	   475.3300	   463.4400	   389.8100	     3.9990	     1.3600	   790.3900	 regenerative cooling, opposite flow	 
   27.2900	    46.5200	     0.4568	   975.1659	   270.1835	  1245.3494	   480.9000	   480.9000	   468.2700	   389.8100	     3.9990	     1.3600	   790.3900	 regenerative cooling, opposite flow	 
   32.7500	    46.5200	     0.4885	  1041.4011	   248.8496	  1290.2507	   484.1500	   484.1500	   471.0900	   389.8000	     3.9990	     1.3600	   790.3900	 regenerative cooling, opposite flow	 
   38.2100	    46.5200	     0.4941	  1054.2680	   231.2342	  1285.5021	   482.0400	   482.0400	   469.0100	   387.7900	     3.9990	     1.3600	   790.3900	 regenerative cooling, opposite flow	 
   43.6700	    46.5200	     0.4957	  1058.7227	   222.0806	  1280.8033	   479.9200	   479.9200	   466.9200	   385.7800	     3.9990	     1.3600	   790.3900	 regenerative cooling, opposite flow	 
   49.1200	    46.5200	     0.5012	  1071.0734	   218.8774	  1289.9507	   478.7900	   478.7900	   465.6900	   383.7400	     3.9990	     1.3600	   790.3900	 regenerative cooling, opposite flow	 
   54.5800	    46.5200	     0.5039	  1077.6093	   218.1865	  1295.7958	   477.4000	   477.4000	   464.2300	   381.6800	     3.9990	     1.3600	   790.3900	 regenerative cooling, opposite flow	 
   60.0400	    46.5200	     0.5053	  1081.3296	   218.1622	  1299.4918	   475.8200	   475.8200	   462.6100	   379.6000	     3.9990	     1.3600	   790.3900	 regenerative cooling, opposite flow	 
   65.5000	    46.5200	     0.5065	  1084.6170	   218.1283	  1302.7453	   474.2100	   474.2100	   460.9500	   377.4900	     3.9990	     1.3600	   790.3900	 regenerative cooling, opposite flow	 
   70.9600	    46.5200	     0.5076	  1087.8664	   218.2301	  1306.0965	   472.5800	   472.5800	   459.2800	   375.3700	     3.9990	     1.3600	   790.3900	 regenerative cooling, opposite flow	 
   76.4200	    46.5200	     0.5087	  1091.1626	   218.3873	  1309.5499	   470.9400	   470.9400	   457.6000	   373.2200	     3.9990	     1.3600	   790.3900	 regenerative cooling, opposite flow	 
   81.8700	    46.5200	     0.5099	  1094.4971	   218.6402	  1313.1373	   469.2800	   469.2800	   455.9000	   371.0500	     3.9990	     1.3600	   790.3900	 regenerative cooling, opposite flow	 
   87.3300	    46.5200	     0.5111	  1097.8604	   218.6346	  1316.4950	   467.6000	   467.6000	   454.1700	   368.8600	     3.9990	     1.3600	   790.3900	 regenerative cooling, opposite flow	 
   91.9200	    46.3300	     0.5159	  1108.9119	   218.3575	  1327.2694	   466.3300	   466.3300	   452.7900	   367.0000	     3.9990	     1.3700	   790.3900	 regenerative cooling, opposite flow	 
   96.5100	    45.7200	     0.5288	  1137.1253	   218.4574	  1355.5827	   465.4300	   465.4300	   451.6100	   365.1000	     3.9990	     1.3900	   790.3900	 regenerative cooling, opposite flow	 
  101.1000	    44.7100	     0.5510	  1185.0961	   218.8130	  1403.9091	   464.9300	   464.9300	   450.6300	   363.1300	     3.9990	     1.4200	   790.3900	 regenerative cooling, opposite flow	 
  105.7000	    43.2500	     0.5850	  1258.1968	   217.6015	  1475.7983	   464.7900	   464.7900	   449.7800	   361.0800	     3.9990	     1.4800	   790.3900	 regenerative cooling, opposite flow	 
  110.2900	    41.3100	     0.6349	  1365.1033	   217.1938	  1582.2971	   465.2900	   465.2900	   449.2200	   358.8900	     3.9990	     1.5500	   790.3900	 regenerative cooling, opposite flow	 
  114.8800	    38.8200	     0.7085	  1522.2006	   216.7685	  1738.9692	   466.6200	   466.6200	   449.0000	   356.5200	     3.9990	     1.6600	   790.3900	 regenerative cooling, opposite flow	 
  119.4700	    35.7500	     0.8189	  1756.8034	   215.0858	  1971.8892	   469.1100	   469.1100	   449.1900	   353.9100	     3.9990	     1.8200	   790.3900	 regenerative cooling, opposite flow	 
  124.0600	    32.5300	     0.9652	  2066.4491	   210.8319	  2277.2810	   472.5000	   472.5000	   449.5600	   351.0800	     3.9990	     2.0200	   790.3900	 regenerative cooling, opposite flow	 
  128.6500	    29.3200	     1.1555	  2466.8416	   205.4715	  2672.3132	   477.0000	   477.0000	   450.1400	   348.0700	     4.0000	     2.2600	   790.3900	 regenerative cooling, opposite flow	 
  133.2400	    26.1900	     1.4023	  2981.4152	   194.6501	  3176.0654	   482.6100	   482.6100	   450.7400	   344.9200	     4.0000	     2.5700	   790.3900	 regenerative cooling, opposite flow	 
  137.8300	    23.8700	     1.6408	  3472.8926	   176.3656	  3649.2582	   487.0300	   487.0300	   450.4600	   341.7800	     4.0000	     2.8600	   790.3900	 regenerative cooling, opposite flow	 
  142.4200	    22.3900	     1.8271	  3850.7249	   152.0051	  4002.7300	   489.1400	   489.1400	   449.0500	   338.7000	     4.0000	     3.0900	   790.3900	 regenerative cooling, opposite flow	 
  147.0100	    21.6200	     1.9342	  4060.0939	   126.9792	  4187.0731	   488.4200	   488.4200	   446.4900	   335.6400	     4.0000	     3.2100	   790.3900	 regenerative cooling, opposite flow	 
  150.0000	    21.4800	     1.9520	  4087.4392	   115.5101	  4202.9493	   486.3500	   486.3500	   444.2500	   333.6600	     4.0000	     3.2400	   790.3900	 regenerative cooling, opposite flow	 
  159.1800	    24.5100	     1.5408	  3198.4600	    41.6359	  3240.0959	   460.2000	   460.2000	   427.6400	   327.7200	     4.0000	     2.8600	   790.3900	 regenerative cooling, opposite flow	 
  168.3600	    27.9800	     1.2199	  2527.8691	    25.8086	  2553.6776	   440.4900	   440.4900	   414.7000	   322.0900	     4.0000	     2.5200	   790.3900	 regenerative cooling, opposite flow	 
  177.5500	    31.2500	     1.0037	  2078.6059	    18.7813	  2097.3872	   425.4700	   425.4700	   404.1500	   316.9500	     4.0000	     2.2700	   790.3900	 regenerative cooling, opposite flow	 
  186.7300	    34.3100	     0.8509	  1762.1392	    14.8790	  1777.0182	   413.3500	   413.3500	   395.1600	   312.1800	     4.0000	     2.0800	   790.3900	 regenerative cooling, opposite flow	 
  195.9100	    37.1400	     0.7393	  1531.3460	    12.0748	  1543.4208	   403.2200	   403.2200	   387.2800	   307.7000	     4.0000	     1.9300	   790.3900	 regenerative cooling, opposite flow	 
  212.7900	    41.7500	     0.6012	  1246.3432	     9.0297	  1255.3729	   388.1400	   388.1400	   374.9400	   300.0000	     4.0000	     1.7200	   790.3900	 regenerative cooling, opposite flow	 
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
