#-------------------------------------------------------------------------------------------------------------------------------------------------------------------
#
# Results of thermal analysis
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#Location, 	 Radius, mm	 Conv. heat	 Conv. heat	 Rad. heat 	 Total heat	     Twg, K	     Twi, K	     Twc, K	      Tc, K	    pc, MPa	    wc, m/s	 rho, kg/m^	                       Comments	 
        mm	           	  coeff., k	  flux, kW/	 flux, kW/m	  flux, kW/	           	           	           	           	           	           	          3	                               	 
          	           	    W/m^2-K	        m^2	         ^2	        m^2	           	           	           	           	           	           	           	                               	 
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    0.0000	    46.5200	     0.0000	     0.0000	   150.9330	   150.9330	   405.0400	   405.0400	   402.0400	   389.7200	     4.0000	     0.9800	   790.3900	 regenerative cooling, opposite flow; film coolant injection	 
    5.4600	    46.5200	     0.0000	     0.0000	   204.8579	   204.8579	   409.9500	   409.9500	   406.4500	   389.7200	     4.0000	     0.9800	   790.3900	 regenerative cooling, opposite flow	 
   10.9200	    46.5200	     0.0000	     0.0000	   246.6235	   246.6235	   413.6900	   413.6900	   409.8600	   389.7100	     4.0000	     0.9800	   790.3900	 regenerative cooling, opposite flow	 
   16.3700	    46.5200	     0.0000	     0.0000	   276.6188	   276.6188	   415.8800	   415.8800	   411.7600	   389.1500	     4.0000	     0.9800	   790.3900	 regenerative cooling, opposite flow	 
   21.8300	    46.5200	     0.3088	   660.6700	   220.3962	   881.0662	   470.2200	   470.2200	   461.1600	   389.1400	     4.0000	     0.9800	   790.3900	 regenerative cooling, opposite flow	 
   27.2900	    46.5200	     0.3377	   720.7024	   217.6737	   938.3761	   475.4600	   475.4600	   465.8400	   389.1400	     4.0000	     0.9800	   790.3900	 regenerative cooling, opposite flow	 
   32.7500	    46.5200	     0.3620	   771.3627	   200.4057	   971.7684	   478.5300	   478.5300	   468.5700	   389.1300	     4.0000	     0.9800	   790.3900	 regenerative cooling, opposite flow	 
   38.2100	    46.5200	     0.3657	   779.4580	   185.9675	   965.4255	   477.9500	   477.9500	   468.0500	   389.1300	     4.0000	     0.9800	   790.3900	 regenerative cooling, opposite flow	 
   43.6700	    46.5200	     0.3663	   781.0423	   178.6484	   959.6907	   477.3500	   477.3500	   467.5700	   389.1200	     4.0000	     0.9800	   790.3900	 regenerative cooling, opposite flow	 
   49.1200	    46.5200	     0.3698	   788.9626	   176.0638	   965.0264	   475.9800	   475.9800	   466.1400	   387.0200	     4.0000	     0.9800	   790.3900	 regenerative cooling, opposite flow	 
   54.5800	    46.5200	     0.3720	   794.1744	   175.4183	   969.5926	   474.5100	   474.5100	   464.6200	   384.8900	     4.0000	     0.9800	   790.3900	 regenerative cooling, opposite flow	 
   60.0400	    46.5200	     0.3731	   797.1154	   175.5330	   972.6484	   472.8800	   472.8800	   462.9500	   382.7400	     4.0000	     0.9800	   790.3900	 regenerative cooling, opposite flow	 
   65.5000	    46.5200	     0.3740	   799.7095	   175.6351	   975.3446	   471.2000	   471.2000	   461.2400	   380.5700	     4.0000	     0.9800	   790.3900	 regenerative cooling, opposite flow	 
   70.9600	    46.5200	     0.3749	   802.2897	   175.5867	   977.8765	   469.5000	   469.5000	   459.4900	   378.3700	     4.0000	     0.9800	   790.3900	 regenerative cooling, opposite flow	 
   76.4200	    46.5200	     0.3758	   804.9021	   175.6909	   980.5931	   467.7800	   467.7800	   457.7400	   376.1500	     4.0000	     0.9800	   790.3900	 regenerative cooling, opposite flow	 
   81.8700	    46.5200	     0.3767	   807.5260	   175.9025	   983.4285	   466.0600	   466.0600	   455.9800	   373.9100	     4.0000	     0.9800	   790.3900	 regenerative cooling, opposite flow	 
   87.3300	    46.5200	     0.3777	   810.1975	   176.0197	   986.2172	   464.3100	   464.3100	   454.2000	   371.6400	     4.0000	     0.9800	   790.3900	 regenerative cooling, opposite flow	 
   91.9200	    46.3300	     0.3813	   818.4539	   176.6052	   995.0590	   463.0100	   463.0100	   452.8000	   369.7100	     4.0000	     0.9800	   790.3900	 regenerative cooling, opposite flow	 
   96.5100	    45.7200	     0.3910	   839.7622	   175.1244	  1014.8866	   461.8200	   461.8200	   451.4100	   367.7400	     4.0000	     1.0000	   790.3900	 regenerative cooling, opposite flow	 
  101.1000	    44.7100	     0.4076	   875.7146	   174.8235	  1050.5381	   461.0300	   461.0300	   450.2700	   365.7100	     4.0000	     1.0200	   790.3900	 regenerative cooling, opposite flow	 
  105.7000	    43.2500	     0.4328	   930.0445	   175.8119	  1105.8563	   460.7000	   460.7000	   449.3900	   363.5800	     4.0000	     1.0600	   790.3900	 regenerative cooling, opposite flow	 
  110.2900	    41.3100	     0.4701	  1010.0408	   174.7169	  1184.7577	   460.6700	   460.6700	   448.5800	   361.3200	     4.0000	     1.1100	   790.3900	 regenerative cooling, opposite flow	 
  114.8800	    38.8200	     0.5250	  1127.4755	   175.0983	  1302.5738	   461.4000	   461.4000	   448.1500	   358.8600	     4.0000	     1.1900	   790.3900	 regenerative cooling, opposite flow	 
  119.4700	    35.7500	     0.6076	  1303.4749	   172.8721	  1476.3470	   462.9300	   462.9300	   447.9500	   356.1500	     4.0000	     1.3000	   790.3900	 regenerative cooling, opposite flow	 
  124.0600	    32.5300	     0.7171	  1536.0358	   171.0084	  1707.0442	   465.2700	   465.2700	   448.0200	   353.2200	     4.0000	     1.4400	   790.3900	 regenerative cooling, opposite flow	 
  128.6500	    29.3200	     0.8601	  1838.2974	   165.8417	  2004.1391	   468.3200	   468.3200	   448.1300	   350.0900	     4.0000	     1.6200	   790.3900	 regenerative cooling, opposite flow	 
  133.2400	    26.1900	     1.0461	  2228.4686	   157.0603	  2385.5290	   472.2300	   472.2300	   448.2500	   346.8100	     4.0000	     1.8500	   790.3900	 regenerative cooling, opposite flow	 
  137.8300	    23.8700	     1.2266	  2603.3104	   141.6290	  2744.9394	   475.0900	   475.0900	   447.5400	   343.5300	     4.0000	     2.0500	   790.3900	 regenerative cooling, opposite flow	 
  142.4200	    22.3900	     1.3682	  2893.0242	   121.2181	  3014.2422	   476.0200	   476.0200	   445.7800	   340.3100	     4.0000	     2.2100	   790.3900	 regenerative cooling, opposite flow	 
  147.0100	    21.6200	     1.4499	  3054.4769	   101.2128	  3155.6897	   474.6600	   474.6600	   443.0100	   337.1200	     4.0000	     2.3000	   790.3900	 regenerative cooling, opposite flow	 
  150.0000	    21.4800	     1.4637	  3076.2152	    91.7601	  3167.9753	   472.4700	   472.4700	   440.6900	   335.0400	     4.0000	     2.3200	   790.3900	 regenerative cooling, opposite flow	 
  159.1800	    24.5100	     1.1526	  2398.6801	    32.1637	  2430.8438	   448.8900	   448.8900	   424.4000	   328.8300	     4.0000	     2.0500	   790.3900	 regenerative cooling, opposite flow	 
  168.3600	    27.9800	     0.9108	  1890.6397	    19.6535	  1910.2932	   431.1100	   431.1100	   411.7200	   322.9600	     4.0000	     1.8100	   790.3900	 regenerative cooling, opposite flow	 
  177.5500	    31.2500	     0.7486	  1551.9401	    14.2392	  1566.1793	   417.3800	   417.3800	   401.3400	   317.6100	     4.0000	     1.6300	   790.3900	 regenerative cooling, opposite flow	 
  186.7300	    34.3100	     0.6342	  1314.1934	    11.1751	  1325.3685	   406.1600	   406.1600	   392.4300	   312.6500	     4.0000	     1.4900	   790.3900	 regenerative cooling, opposite flow	 
  195.9100	    37.1400	     0.5508	  1141.2291	     9.0996	  1150.3287	   396.6700	   396.6700	   384.6100	   308.0000	     4.0000	     1.3800	   790.3900	 regenerative cooling, opposite flow	 
  212.7900	    41.7500	     0.4477	   928.1939	     6.8261	   935.0200	   382.3200	   382.3200	   372.2800	   300.0000	     4.0000	     1.2300	   790.3900	 regenerative cooling, opposite flow	 
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
